Total CGPA,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,certifications,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies?,Type of company want to settle in?,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour?,Management or Technical,worked in teams ever?,Introvert
8.3,7,5,6,7,yes,yes,machine learning,excellent,medium,Management,Business process analyst,higherstudies,Product based,no,Mystery,gentle,Management,salary,smart worker,yes
7.966666666666667,4,0,4,8,yes,yes,shell programming,excellent,excellent,cloud computing,system developer,higherstudies,Web Services,no,Prayer books,salary,stubborn,Management,yes,no
7.355555555555556,7,1,2,3,yes,no,machine learning,poor,medium,networks,Business process analyst,job,SAaS services,yes,Childrens,salary,gentle,Technical,no,yes
7.944444444444445,1,4,1,3,yes,no,app development,poor,excellent,hacking,developer,higherstudies,Sales and Marketing,yes,Travel,Work,stubborn,Management,no,yes
7.644444444444444,1,1,2,5,no,yes,python,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,no,Romance,Work,gentle,Management,yes,yes
7.644444444444444,5,4,6,3,no,no,app development,poor,excellent,Computer Architecture,testing,higherstudies,product development,yes,Cookbooks,salary,stubborn,Management,yes,yes
7.933333333333333,5,3,8,1,yes,yes,python,poor,medium,programming,system developer,job,Testing and Maintainance Services,yes,Self help,salary,stubborn,Management,yes,no
7.933333333333333,3,2,3,3,no,no,r programming,excellent,poor,parallel computing,security,job,BPA,no,Drama,Work,gentle,Technical,yes,yes
7.411111111111111,2,1,6,6,yes,no,r programming,poor,excellent,parallel computing,developer,higherstudies,BPA,no,Romance,salary,stubborn,Technical,no,no
7.488888888888889,5,2,4,8,no,yes,information security,poor,poor,IOT,developer,higherstudies,BPA,no,Math,Work,gentle,Technical,yes,yes
7.466666666666667,9,0,5,4,no,no,app development,excellent,poor,data engineering,Business process analyst,job,product development,no,Religion-Spirituality,Work,gentle,Management,yes,no
7.855555555555556,6,2,3,9,yes,no,hadoop,medium,poor,parallel computing,security,higherstudies,Sales and Marketing,yes,Cookbooks,Work,stubborn,Management,yes,yes
7.911111111111111,3,6,9,7,no,yes,machine learning,medium,excellent,parallel computing,testing,higherstudies,Testing and Maintainance Services,no,Anthology,Work,stubborn,Management,yes,no
6.6,2,2,8,6,yes,no,distro making,medium,poor,cloud computing,system developer,higherstudies,Service Based,no,Trilogy,salary,stubborn,Technical,yes,no
7.722222222222223,5,3,6,5,no,no,python,poor,poor,parallel computing,developer,higherstudies,Testing and Maintainance Services,yes,Autobiographies,salary,stubborn,Management,yes,yes
7.2555555555555555,6,2,3,8,yes,no,machine learning,poor,poor,Software Engineering,security,job,Testing and Maintainance Services,no,Math,salary,stubborn,Management,yes,no
6.966666666666667,7,6,5,8,yes,yes,information security,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,no,Childrens,salary,stubborn,Technical,no,no
7.633333333333333,7,5,5,4,no,no,app development,medium,medium,IOT,developer,job,Sales and Marketing,yes,Mystery,salary,gentle,Technical,yes,yes
7.2,9,6,3,4,no,yes,hadoop,medium,excellent,hacking,security,job,product development,yes,Math,Work,stubborn,Management,yes,no
8.011111111111111,8,0,7,1,no,no,machine learning,medium,medium,Computer Architecture,Business process analyst,higherstudies,Web Services,no,Diaries,Work,stubborn,Technical,yes,no
7.411111111111111,6,0,2,8,no,yes,hadoop,excellent,excellent,parallel computing,cloud computing,job,SAaS services,no,Autobiographies,Work,stubborn,Management,no,no
7.622222222222223,5,0,2,5,yes,yes,app development,medium,poor,parallel computing,security,higherstudies,Product based,no,Journals,Work,stubborn,Technical,yes,no
7.533333333333333,8,3,2,8,yes,yes,hadoop,excellent,poor,hacking,security,higherstudies,BPA,no,History,Work,stubborn,Management,yes,yes
6.911111111111111,9,6,4,5,no,no,r programming,medium,excellent,cloud computing,system developer,job,BPA,yes,Art,salary,gentle,Management,no,yes
7.366666666666667,9,5,7,6,no,yes,shell programming,excellent,poor,data engineering,testing,job,Service Based,no,Childrens,Work,gentle,Management,no,no
7.877777777777777,7,5,5,1,yes,yes,full stack,medium,poor,parallel computing,cloud computing,higherstudies,product development,yes,Childrens,salary,stubborn,Technical,no,yes
8.38888888888889,5,0,4,7,yes,yes,distro making,medium,excellent,networks,developer,higherstudies,SAaS services,yes,History,Work,stubborn,Technical,no,yes
7.777777777777777,8,5,1,8,no,yes,python,excellent,medium,programming,Business process analyst,higherstudies,SAaS services,yes,Self help,Work,stubborn,Management,yes,no
7.944444444444445,9,1,3,5,yes,yes,app development,poor,excellent,parallel computing,security,job,Web Services,yes,Dictionaries,salary,stubborn,Technical,no,no
8.022222222222222,1,0,1,8,yes,no,app development,excellent,medium,cloud computing,cloud computing,higherstudies,BPA,no,Art,Work,gentle,Management,no,no
8.2,3,1,2,6,yes,no,app development,excellent,poor,networks,Business process analyst,higherstudies,Cloud Services,yes,Journals,salary,gentle,Management,yes,yes
7.844444444444444,2,3,9,8,no,yes,python,poor,medium,data engineering,Business process analyst,higherstudies,BPA,yes,Self help,salary,gentle,Technical,no,yes
8.188888888888888,5,6,3,1,no,yes,full stack,excellent,poor,cloud computing,testing,job,product development,yes,Childrens,Work,stubborn,Technical,no,no
7.7444444444444445,7,4,7,5,yes,yes,shell programming,excellent,excellent,data engineering,testing,job,Finance,no,Horror,Work,stubborn,Technical,no,no
7.2444444444444445,9,0,2,5,no,yes,full stack,excellent,poor,parallel computing,system developer,job,Finance,yes,Childrens,salary,gentle,Management,no,no
7.477777777777777,8,4,2,9,yes,no,app development,poor,excellent,data engineering,security,job,Product based,yes,Trilogy,Work,stubborn,Technical,yes,no
7.655555555555556,8,6,2,9,no,yes,hadoop,excellent,excellent,Computer Architecture,testing,job,SAaS services,yes,Childrens,Work,stubborn,Technical,no,yes
7.7444444444444445,3,6,9,5,no,no,app development,poor,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,yes,Encyclopedias,Work,gentle,Technical,no,yes
7.555555555555555,8,5,7,4,no,yes,shell programming,excellent,poor,hacking,Business process analyst,job,BPA,no,Encyclopedias,Work,stubborn,Management,no,yes
7.311111111111112,8,0,4,7,yes,no,full stack,medium,medium,data engineering,testing,job,Finance,yes,Action and Adventure,Work,stubborn,Technical,no,yes
7.7666666666666675,6,2,1,8,yes,yes,app development,poor,poor,cloud computing,Business process analyst,job,SAaS services,yes,Anthology,salary,gentle,Technical,yes,no
8.166666666666668,5,1,6,9,yes,yes,python,poor,excellent,Software Engineering,testing,higherstudies,BPA,yes,Action and Adventure,Work,gentle,Technical,no,yes
7.844444444444444,9,1,1,9,no,yes,app development,medium,excellent,Software Engineering,cloud computing,job,Web Services,yes,Dictionaries,Work,stubborn,Technical,no,no
7.166666666666667,3,2,6,7,no,yes,machine learning,medium,medium,IOT,security,higherstudies,Cloud Services,yes,Fantasy,Work,gentle,Technical,no,no
7.711111111111111,7,4,8,1,yes,yes,full stack,poor,medium,Software Engineering,Business process analyst,job,SAaS services,yes,Childrens,salary,gentle,Management,yes,no
7.377777777777777,9,0,5,8,yes,yes,machine learning,poor,excellent,Management,security,higherstudies,Cloud Services,yes,Drama,Work,gentle,Technical,yes,no
8.044444444444444,5,6,8,4,yes,yes,shell programming,poor,medium,networks,Business process analyst,higherstudies,Testing and Maintainance Services,no,Comics,Work,stubborn,Management,yes,no
7.277777777777777,7,4,2,9,yes,yes,python,poor,excellent,data engineering,security,higherstudies,BPA,no,Art,salary,stubborn,Technical,no,no
7.466666666666667,7,6,5,5,no,yes,shell programming,medium,medium,Software Engineering,system developer,job,Finance,no,Horror,Work,stubborn,Technical,no,yes
7.788888888888889,7,1,3,5,yes,yes,python,poor,poor,hacking,cloud computing,job,Product based,no,Self help,Work,stubborn,Management,yes,yes
7.811111111111112,5,5,9,5,no,no,distro making,excellent,poor,Computer Architecture,system developer,job,Service Based,no,Diaries,Work,stubborn,Technical,yes,no
8.188888888888888,2,1,1,5,yes,yes,information security,excellent,poor,parallel computing,security,higherstudies,Web Services,yes,Science fiction,Work,stubborn,Technical,no,no
7.477777777777777,4,3,2,4,yes,no,machine learning,poor,medium,hacking,cloud computing,job,SAaS services,no,Comics,Work,stubborn,Management,no,yes
7.277777777777777,5,0,6,2,yes,yes,information security,poor,poor,programming,testing,higherstudies,BPA,yes,Series,Work,stubborn,Management,yes,no
7.944444444444445,8,1,4,6,no,yes,information security,medium,medium,hacking,security,higherstudies,Cloud Services,yes,Childrens,Work,stubborn,Technical,no,yes
7.555555555555555,3,5,2,8,no,yes,hadoop,poor,poor,cloud computing,Business process analyst,job,Service Based,no,Self help,salary,stubborn,Technical,no,yes
7.066666666666667,6,3,7,8,yes,yes,shell programming,poor,poor,parallel computing,system developer,higherstudies,Finance,no,Guide,Work,stubborn,Technical,yes,no
7.588888888888889,3,0,4,3,yes,no,machine learning,poor,poor,networks,cloud computing,higherstudies,Cloud Services,yes,Biographies,salary,gentle,Technical,yes,no
7.455555555555556,9,6,1,7,no,no,full stack,poor,medium,Management,testing,job,Web Services,yes,Series,salary,gentle,Technical,no,no
7.2555555555555555,5,0,7,9,yes,yes,distro making,excellent,poor,hacking,developer,job,Testing and Maintainance Services,no,Health,Work,stubborn,Technical,no,yes
8.1,3,4,3,8,yes,no,machine learning,poor,poor,data engineering,security,job,product development,yes,Diaries,Work,stubborn,Technical,no,yes
6.977777777777777,7,0,4,4,no,no,distro making,poor,excellent,Computer Architecture,developer,job,Web Services,yes,Journals,Work,stubborn,Management,yes,yes
8.155555555555555,2,2,8,7,no,no,full stack,poor,excellent,parallel computing,Business process analyst,job,Finance,yes,Diaries,Work,stubborn,Management,no,no
7.7,6,5,6,5,yes,yes,machine learning,medium,medium,Management,security,job,BPA,no,Diaries,Work,stubborn,Technical,yes,no
7.477777777777777,1,3,6,5,yes,no,r programming,poor,poor,Management,developer,higherstudies,Cloud Services,no,Art,Work,stubborn,Management,yes,yes
7.688888888888888,2,5,1,8,yes,no,python,medium,medium,cloud computing,security,job,Service Based,no,Prayer books,salary,stubborn,Management,no,yes
7.388888888888888,8,2,1,8,no,no,information security,excellent,poor,Computer Architecture,cloud computing,job,BPA,no,Guide,Work,stubborn,Management,no,yes
7.777777777777777,3,5,4,3,no,yes,python,medium,excellent,data engineering,system developer,higherstudies,Web Services,no,Childrens,Work,gentle,Management,yes,no
7.411111111111111,7,0,4,6,no,yes,hadoop,medium,poor,data engineering,security,job,Cloud Services,yes,Art,salary,gentle,Management,yes,no
7.6,3,2,7,4,yes,no,r programming,excellent,medium,networks,system developer,job,Service Based,yes,History,Work,gentle,Management,yes,yes
7.7666666666666675,6,0,9,7,yes,no,hadoop,poor,poor,IOT,developer,higherstudies,Service Based,no,Health,salary,gentle,Technical,yes,no
7.7333333333333325,7,0,6,3,no,no,information security,poor,excellent,programming,security,job,Cloud Services,no,Anthology,salary,stubborn,Technical,no,no
7.344444444444444,4,5,6,1,yes,no,information security,poor,medium,hacking,testing,higherstudies,product development,yes,Science fiction,Work,gentle,Management,yes,no
7.588888888888889,5,4,7,8,no,yes,python,medium,excellent,IOT,Business process analyst,higherstudies,Cloud Services,yes,Travel,salary,stubborn,Management,yes,yes
8.033333333333333,1,4,6,9,no,no,machine learning,excellent,poor,cloud computing,testing,higherstudies,Service Based,no,Guide,Work,stubborn,Management,yes,no
7.777777777777777,9,6,4,2,yes,yes,machine learning,excellent,poor,Computer Architecture,security,job,Service Based,no,Autobiographies,salary,stubborn,Technical,no,yes
7.488888888888889,5,6,3,1,yes,no,r programming,medium,medium,parallel computing,system developer,job,Web Services,no,Biographies,Work,stubborn,Management,no,no
8.266666666666667,2,3,4,8,no,no,r programming,medium,poor,data engineering,testing,job,Web Services,no,Encyclopedias,salary,gentle,Technical,no,no
